"","member_casual","start_station_name","number_of_station"
"146","casual","Clark St & Armitage Ave",15372
"147","casual","Clark St & Berwyn Ave",4224
"148","casual","Clark St & Bryn Mawr Ave",2407
"149","casual","Clark St & Chicago Ave",6297
"150","casual","Clark St & Columbia Ave",646
"151","casual","Clark St & Drummond Pl",9946
"152","casual","Clark St & Elm St",15571
"153","casual","Clark St & Elmdale Ave",1027
"154","casual","Clark St & Grace St",8636
"155","casual","Clark St & Ida B Wells Dr",1911
"156","casual","Clark St & Jarvis Ave",293
"157","casual","Clark St & Lake St",6688
"158","casual","Clark St & Leland Ave",3426
"159","casual","Clark St & Lincoln Ave",16248
"160","casual","Clark St & Lunt Ave",796
"161","casual","Clark St & Montrose Ave",2193
"162","casual","Clark St & Newport St",12082
"163","casual","Clark St & North Ave",7075
"164","casual","Clark St & Randolph St",5652
"165","casual","Clark St & Schiller St",8933
"166","casual","Clark St & Schreiber Ave",950
"167","casual","Clark St & Touhy Ave",287
"168","casual","Clark St & Wellington Ave",7816
"169","casual","Clark St & Winnemac Ave",4635
"170","casual","Clark St & Wrightwood Ave",10458
"171","casual","Clifton Ave & Armitage Ave",4078
"172","casual","Clinton St & 18th St",961
"173","casual","Clinton St & Jackson Blvd",3529
"174","casual","Clinton St & Lake St",5425
"175","casual","Clinton St & Madison St",7323
"176","casual","Clinton St & Polk St",609
"177","casual","Clinton St & Roosevelt Rd",3272
"178","casual","Clinton St & Tilden St",1180
"179","casual","Clinton St & Washington Blvd",5087
"180","casual","Clybourn Ave & Division St",2269
"181","casual","Clyde Ave & 87th St",103
"182","casual","Columbus Dr & Randolph St",10146
"183","casual","Commercial Ave & 100th St",43
"184","casual","Commercial Ave & 130th St",120
"185","casual","Commercial Ave & 83rd St",83
"186","casual","Conservatory Dr & Lake St",489
"187","casual","Constance Ave & 95th St",67
"188","casual","Cornell Ave & Hyde Park Blvd",3085
"189","casual","Cornell Dr & Hayes Dr",366
"190","casual","Cottage Grove Ave & 111th Pl",119
"191","casual","Cottage Grove Ave & 43rd St",431
"192","casual","Cottage Grove Ave & 47th St",590
"193","casual","Cottage Grove Ave & 51st St",642
"194","casual","Cottage Grove Ave & 63rd St",481
"195","casual","Cottage Grove Ave & 67th St",207
"196","casual","Cottage Grove Ave & 71st St",132
"197","casual","Cottage Grove Ave & 78th St",129
"198","casual","Cottage Grove Ave & 83rd St",143
"199","casual","Cottage Grove Ave & Oakwood Blvd",1061
"200","casual","Daley Center Plaza",6311
"201","casual","Damen Ave & 33rd St",9
"202","casual","Damen Ave & 51st St",76
"203","casual","Damen Ave & 59th St",97
"204","casual","Damen Ave & Charleston St",2901
